Company,Skills
highrise solutions llp,"('leadership and team management', 'strong organizational skills', 'excellent negotiation skills', 'healthcare industry knowledge', 'recruitment process management', 'interviewing', 'multitasking', 'interpersonal skills', 'hr', 'job posting', 'communication', 'ites', 'recruitment cycle')"
"Space COnsultant
     (More Jobs)","('medicine', 'doctor', 'medical')"
IQVIA,"('**  clinical trials management', 'data entry accuracy', 'vital signs monitoring', 'medical terminology knowledge', 'ms office proficiency **', 'clinical research coordinator', 'life sciences', 'research assistant', 'edc')"
IQVIA,"('**  clinical trial knowledge', 'patient data management', 'study protocol development', 'it competence skills', 'organizational skills **', 'clinical research coordinator', 'clinical trials', 'life sciences', 'edc')"
IQVIA,"('**  pharmacovigilance compliance', 'regulatory intelligence', 'safety risk management', 'clinical trial oversight', 'report generation **', 'regulatory requirements', 'life sciences', 'clinical research', 'pharmacy')"
IQVIA,"('pharmacovigilance compliance', 'risk management plans', 'regulatory requirements awareness', 'clinical trial safety', 'project management skills', 'life sciences', 'clinical research', 'pharmacy')"
IQVIA,"('clinical research', 'medical terminology', 'data entry', 'it competence', 'organizational skills', 'clinical research coordinator', 'clinical trials', 'life sciences', 'edc')"
ORACLE,"('**   client communication', 'it service management', 'millennium applications', 'project management', 'documentation skills  **', 'information technology', 'test scripts', 'security', 'oracle', 'testing', 'individual contributor', 'infrastructure', 'tandem', 'logging')"
IQVIA,"('clinical support', 'sales process', 'technical expertise', 'customer focus', 'data analysis', 'interpersonal skills', 'communication', 'processing', 'compensation')"
"Prima Donna Human Connections India
     (More Jobs)","('""sales""', '""marketing""', '""business development""', '""field sales""', '""medical devices""', '""icu equipments""')"
IQVIA,"('clinical trial knowledge', 'data entry accuracy', 'it competence', 'organizational skills', 'vital signs measurement', 'clinical research coordinator', 'life sciences', 'clinical trials', 'research assistant', 'edc')"
IQVIA,"('clinical research', 'site management', 'gcp knowledge', 'on site monitoring', 'protocol training', 'learning', 'recruitment', 'communication', 'time management', 'presentation skills', 'career development')"
BOSTON SCIENTIFIC,"('sales', 'territory management', 'medical device knowledge', 'customer relationship', 'team leadership', 'communication', 'interview', 'disciplinary action')"
"Prima Donna Human Connections India
     (More Jobs)","('sales', 'engineer', 'ultrasound', 'color doppler', 'xray', 'ctscan', '""mri""')"
AL-FUTTAIM GROUP,"('internal medicine', 'patient care', 'psychiatry treatment', 'counseling', 'clinical monitoring', 'health', 'medical services', 'healthcare')"
IQVIA,"('clinical trials', 'data entry', 'medical terminologies', 'research skills', 'analytical skills', 'life sciences', 'clinical research')"
pallium india,"('palliative care', 'medical knowledge', 'compassionate care', 'communication skills', 'team leadership', 'doctor', 'physician', 'medicine')"
"SKYWALK VISA IMMIGRATION SERVICES LLP
     (More Jobs)","('operation theatre', 'hospital administration', 'healthcare', 'healthcare management', 'hospital management', 'hospital manager', 'cardiac surgery')"
IQVIA,"('clinical trials knowledge', 'medical terminology', 'it competence', 'interpersonal skills', 'organizational skills', 'regulatory', 'research', 'clinical research coordinator', 'life sciences', 'edc')"
IQVIA,"('media coordination', 'quality checks', 'problem solving', 'analytical skills', 'communication skills', 'information technology', 'sql')"
IQVIA,"('site monitoring', 'subject recruitment', 'protocol administration', 'regulatory compliance', 'project management', 'site selection', 'ich', 'cra', 'gcp', 'crf', 'life sciences', 'cro', 'clinical research associate')"
IQVIA,"('clinical research', 'edc entry', 'recruitment', 'data collection', 'medical terminology', 'regulatory', 'clinical research coordinator', 'clinical trials', 'life sciences')"
"SKYWALK VISA IMMIGRATION SERVICES LLP
     (More Jobs)","('critical care', 'icu', 'therapy', 'cases', 'anesthesia technical', 'general anesthesia', 'regional anesthesia', 'intensive care', 'emergency care', 'patient care', 'self motivated', 'cardiac')"
IQVIA,"('clinical trials', 'medical terminology', 'data entry', 'it competence', 'english language', 'clinical research coordinator', 'life sciences', 'research assistant', 'edc')"
IQVIA,"('clinical trials', 'medical terminology', 'data entry', 'medical profession', 'it competence', 'clinical research coordinator', 'life sciences', 'edc')"
IQVIA,"('benefit investigations', 'insurance verification', 'prior authorizations', 'patient support services', 'communication skills', 'learning', 'presentation skills', 'compensation')"
BOSTON SCIENTIFIC,"('surgical assistance', 'technical support', 'medical instrument management', 'aseptic technique', 'healthcare team collaboration', 'instruments', 'innovation', 'technician', 'license', 'harness')"
"CLOUD VISA IMMIGRATION LLP
     (More Jobs)","('mbbs', 'physician', 'medical', 'pharmaceutical', 'opd doctor', 'general medicine', 'doctor')"
"Space COnsultant
     (More Jobs)","('gynecologist', 'specialist', 'obstetrician')"
IQVIA,"('**  safety data processing', 'pharmacovigilance activities', 'quality compliance', 'problem solving', 'team mentoring **', 'data management', 'regulatory requirements', 'case processing', 'life sciences', 'ae', 'clinical', 'clinical research', 'pharmacy')"
IQVIA,"('sales persuasion', 'customer relations', 'territory management', 'communication skills', 'pharmaceutical sales', 'database', 'written communication', 'forms')"
IQVIA,"('inside sales', 'medical devices', 'customer service', 'relationship building', 'sales force', 'inbound calls', 'outbound sales', 'coaching', 'customer experience')"
IQVIA,"('clinical monitoring', 'site management', 'gcp knowledge', 'communication skills', 'time management', 'recruitment', 'presentation skills', 'career development')"
"EXOTIC EXPERT SOLUTIONS LLP
     (More Jobs)","('doctor', 'medical', 'medicine', 'medical doctor', 'general physician', 'medical officer')"
IQVIA,"('clinical trials  medical terminology  data entry  organizational skills  interpersonal skills', 'clinical research coordinator', 'life sciences', 'research assistant', 'edc')"
IQVIA,"('clinical trials knowledge', 'data entry', 'medical terminology', 'it proficiency', 'interpersonal skills', 'clinical research coordinator', 'life sciences', 'research assistant', 'edc')"
IQVIA,"('pharmacovigilance', 'ich  /  gcp guidelines', 'sae reporting', 'data science', 'time management', 'clinical trials', 'life sciences', 'clinical research', 'pharmacy')"
"Space COnsultant
     (More Jobs)","('skin specialist', 'consultant', 'dermatologist')"
IQVIA,"('pharmaceutical sales', 'eyecare experience', 'results focused', 'business acumen', 'territory management', 'presentation', 'strategic planning', 'account management', 'selling', 'sales targets')"
IQVIA,"('sales', 'eyecare', 'pharmaceuticals', 'presentation', 'territory management', 'strategic planning', 'account management', 'pharmaceutical sales', 'selling', 'sales targets')"
IQVIA,"('eyecare sales', 'results focused', 'sales targets', 'business acumen', 'territory management', 'presentation', 'strategic planning', 'account management', 'pharmaceutical sales', 'selling')"
IQVIA,"('pharmaceutical sales', 'eyecare experience', 'sales targets', 'business acumen', 'territory management', 'presentation', 'strategic planning', 'account management', 'selling')"
IQVIA,"('eyecare sales', 'pharmaceutical sales', 'territory management', 'business acumen', 'communication skills', 'presentation', 'strategic planning', 'account management', 'selling', 'sales targets')"
virtusa consulting services pvt. ltd.,"('opentext appworks', 'java  /', 'netoscript', 'ot cs apis', 'cws', 'integration')"
sapphire hospital,"('dialysis', 'hemodialysis', 'icu')"
IQVIA,"('clinical trials knowledge', 'medical terminology', 'it competence', 'data entry', 'interpersonal skills', 'clinical research coordinator', 'life sciences', 'edc')"
IQVIA,"('clinical research', 'administrative support', 'patient data collection', 'data entry', 'medical terminology', 'clinical research coordinator', 'clinical trials', 'life sciences', 'edc')"
IQVIA,"('**  clinical monitoring', 'therapeutic areas', 'gcp knowledge', 'time management', 'communication skills **', 'recruitment', 'presentation skills', 'career development')"
IQVIA,"('sales targets achieving', 'business acumen', 'strong presentation skills', 'territory management', 'analytical thinking', 'strategic planning', 'account management', 'pharmaceutical sales', 'selling')"
IQVIA,"('patient support', 'clinical counseling', 'adherence support', 'pharmaceutical knowledge', 'communication skills', 'social worker', 'recruitment process', 'time management', 'attendance')"
IQVIA,"('clinical research', 'study protocols', 'data entry', 'medical terminology', 'interpersonal skills', 'clinical research coordinator', 'life sciences', 'clinical trials', 'research assistant', 'edc')"
IQVIA,"('site monitoring', 'recruitment plans', 'regulatory compliance', 'data management', 'good clinical practice', 'site selection', 'ich', 'cra', 'gcp', 'crf', 'life sciences', 'clinical research associate')"
kem hospital parel,"('data entry', 'communication', 'cash handling', 'billing', 'customer service', 'management', 'registration', 'visitor', 'clerical')"
IQVIA,"('clinical trials', 'data management', 'leadership', 'project management', 'communication skills', 'pharmacology', 'life sciences', 'clinical data management', 'cdm', 'clinical research')"
IQVIA,"('clinical trials', 'medical terminology', 'data entry', 'it competence', 'interpersonal skills', 'clinical research coordinator', 'life sciences', 'research assistant', 'edc')"
IQVIA,"('sales management', 'pharmaceutical sales', 'business acumen', 'relationship building', 'strategic planning', 'presentation skills', 'compensation', 'interview', 'attendance')"
IQVIA,"('**  sales management', 'business acumen', 'analytical skills', 'relationship building', 'strategic planning **', 'presentation skills', 'compensation', 'interview', 'attendance')"
IQVIA,"('sales prospecting', 'territory management', 'customer relationship', 'pathology sales', 'communication skills', 'database', 'written communication', 'forms')"
AL-FUTTAIM GROUP,"('internal medicine', 'mandarin speaking', 'health care', 'clinical audit', 'professional development', 'medical services', 'healthcare')"
BOSTON SCIENTIFIC,"('sales experience', 'relationship building', 'clinical training', 'business development', 'market analysis', 'business sales', 'market share', 'field sales', 'regional manager', 'distribution', 'sales trends', 'sales management', 'sales manager', 'innovation', 'sales training', 'collaboration', 'territory manager')"
sapphire hospital,"('ot', 'ent', 'cardiac', 'anesthesia')"
sapphire hospital,"('bhms', 'cmo', 'physician assistant', 'ot', 'physician', 'bams', 'patient care', 'cardiac')"
"Space COnsultant
     (More Jobs)","('icu', 'critical care', 'cardiology', 'neurology')"
Prayag Hospital,"('ot', 'md', 'dnb', 'icu', 'anaesthetist', 'intensivist')"
Dr. Mehta Hospital Pvt Ltd,"('sql', 'data quality', 'data extraction', 'java', 'data')"
IQVIA,"('site monitoring', 'subject recruitment', 'regulatory knowledge', 'documentation management', 'project execution', 'site selection', 'ich', 'cra', 'gcp', 'crf', 'life sciences', 'cro', 'clinical research associate')"
IQVIA,"('clinical research', 'regulatory compliance', 'quality control', 'project management', 'medical knowledge', 'cro', 'cra', 'life sciences')"
"CLOUD VISA IMMIGRATION LLP
     (More Jobs)","('mbbs', 'physician', 'medical', 'pharmaceutical')"
IQVIA,"('research', 'data validation', 'information gathering', 'quality control', 'analysis', 'production', 'supervision')"
IQVIA,"('**  data maintenance', 'research analysis', 'communication skills', 'problem solving', 'database management **', 'principal', 'science')"
"INDUSTRIAL VENTURES
     (More Jobs)","('pharmaceutical', 'medical', 'medicine', 'healthcare', 'healthcare management')"
"Space COnsultant
     (More Jobs)","('paediatrician', 'consultant', 'pediatric care specialist')"
IQVIA,"('clinical pharmacology', 'data management', 'edc systems', 'project management', 'fda  /  ich guidelines', 'pharmaceutical industry', 'clinical data', 'biologics', 'clinical data management', 'clinical research', 'pharmacy', 'clinical development', 'regulatory', 'crf', 'life sciences', 'cro', 'medidata rave', 'ich-gcp')"
"FLIGHT TO SUCESS IMMIGRATION LLP
     (More Jobs)","('medical coding', 'medical coder', 'medical billing', 'pharmaceutical', 'medical transcriptionist', 'medical transcription', 'patient monitoring', 'healthcare management')"
IQVIA,"('clinical research', 'regulatory compliance', 'clinical trials', 'document management', 'data tracking', 'clinical data', 'cta', 'life sciences', 'cro', 'clinical documents', 'clinical monitoring')"
"FLIGHT TO SUCESS IMMIGRATION LLP
     (More Jobs)","('mbbs doctor', 'doctor', 'medical', 'pediatrician', 'child doctor')"
IQVIA,"('clinical trials', 'data entry', 'medical terminology', 'it competence', 'organizational skills', 'clinical research coordinator', 'life sciences', 'research assistant', 'edc')"
"Space COnsultant
     (More Jobs)","('neurologist',)"
"Space COnsultant
     (More Jobs)","('orthopedic surgery', 'orthopedic care', 'joint and bone specialist care')"
"INDUSTRIAL VENTURES
     (More Jobs)","('medical doctor', 'doctor', 'healthcare', 'healthcare management', 'healthcare industry', 'examining patients', 'counseling patients')"
IQVIA,"('clinical research', 'regulatory compliance', 'trial master file management', 'clinical documentation', 'clinical trial supplies management', 'clinical data', 'ich', 'cta', 'gcp', 'life sciences', 'clinical documents', 'clinical monitoring')"
IQVIA,"('clinical monitoring', 'gcp knowledge', 'site management', 'training  &  development', 'communication skills', 'recruitment', 'time management', 'presentation skills', 'career development')"
"Ajay Vijay Chatur
     (More Jobs)","('physician', 'working knowledge of common diseases and disorders.', 'effective analytical and problem-solving skills.')"
IQVIA,"('clinical trials knowledge | medical terminology | it competence | interpersonal skills | organizational skills', 'clinical research coordinator', 'crc', 'life sciences', 'edc')"
IQVIA,"('clinical research', 'data entry', 'medical terminology', 'it competence', 'organizational skills', 'clinical research coordinator', 'life sciences', 'clinical trials', 'research assistant', 'edc')"
IQVIA,"('clinical research', 'administrative tasks', 'data entry', 'medical terminology', 'it competence', 'clinical research coordinator', 'clinical trials', 'life sciences', 'edc')"
IQVIA,"('clinical trials management', 'medical terminology', 'data entry', 'interpersonal communication', 'it competence ###', 'clinical research coordinator', 'life sciences', 'research assistant', 'edc')"
IQVIA,"('clinical research', 'data entry', 'medical terminologies', 'research skills', 'analytical skills', 'clinical trials', 'life sciences')"
IQVIA,"('health technology assessment', 'evidence synthesis', 'market access', 'clinical research', 'portuguese language', 'biostatistics', 'regulatory documents', 'clinical data', 'pharmacy', 'life sciences')"
IQVIA,"('clinical research', 'edc entry', 'regulatory documents', 'medical terminology', 'data entry', 'clinical research coordinator', 'clinical trials', 'life sciences')"
IQVIA,"('clinical research  edc entry  medical terminology  ms office  regulatory documents', 'clinical research coordinator', 'clinical trials', 'life sciences')"
IQVIA,"('health technology assessment', 'clinical research', 'evidence synthesis', 'market access', 'regulatory documents', 'biostatistics', 'clinical data', 'pharmacy', 'life sciences')"
IQVIA,"('clinical research', 'data entry', 'medical terminology', 'it competence', 'study enrollment', 'clinical research coordinator', 'life sciences', 'clinical trials', 'research assistant', 'edc')"
IQVIA,"('clinical research', 'regulatory compliance', 'trial master file', 'time management', 'effective communication', 'regulatory requirements', 'ich', 'clinical data', 'cta', 'gcp', 'life sciences', 'clinical documents', 'clinical monitoring')"
"Space COnsultant
     (More Jobs)","('neuro surgeon', 'neurosurgical specialist', 'spine surgeon')"
IQVIA,"('sales experience', 'territory management', 'customer focus', 'interpersonal skills', 'communication skills', 'compensation')"
"M care Jobs
     (More Jobs)","('mri', 'ctscan', 'ultascan', 'tiffa scan', 'interventional radiology', 'x-ray')"
IQVIA,"('clinical research', 'health technology assessment', 'evidence synthesis', 'regulatory documents', 'communication skills', 'biostatistics', 'clinical data', 'pharmacy', 'life sciences')"
IQVIA,"('clinical research', 'evidence generation', 'health technology assessment', 'communication skills', 'project management', 'biostatistics', 'regulatory documents', 'clinical data', 'pharmacy', 'life sciences')"
IQVIA,"('site monitoring', 'protocol evaluation', 'gcp knowledge', 'regulatory tracking', 'communication management', 'site selection', 'ich', 'cra', 'crf', 'life sciences', 'clinical research associate')"
IQVIA,"('bilingual communication', 'data analysis', 'project management', 'clinical research', 'written communication', 'recruitment', 'recruitment process', 'communication skills')"
"Srv global consultancy Pvt Ltd
     (More Jobs)","('healthcare', 'healthcare management', 'hospital administrator', 'doctor', 'medical', 'physician', 'patient counseling', 'patient handling', 'physiotherapist', 'physiotherapy')"
IQVIA,"('clinical research', 'regulatory affairs', 'evidence generation', 'portuguese  &  english proficiency', 'communication skills', 'regulatory documents', 'clinical data', 'regulatory requirements', 'life sciences', 'clinical study', 'biostatistics', 'pharmacy')"
IQVIA,"('clinical research', 'edc entry', 'medical terminology', 'data management', 'regulatory documents', 'clinical research coordinator', 'clinical trials', 'life sciences')"
"Space COnsultant
     (More Jobs)","('consultant',)"
IQVIA,"('clinical trials', 'data entry', 'study protocols', 'medical terminology', 'it competence', 'clinical research coordinator', 'life sciences', 'research assistant', 'edc')"
"M care Jobs
     (More Jobs)","('obstetrics', 'gynaecology', 'infertility', 'laparoscopy', 'orthopeadic')"
"Ajay Vijay Chatur
     (More Jobs)","('medical assistant', 'strong customer service skills', 'inventory management experience', 'excellent written and verbal communication skills')"
IQVIA,"('market research', 'proposal preparation', 'project management', 'communication', 'time management', 'project leader', 'technology solutions')"
IQVIA,"('market research', 'project management', 'communication', 'time management', 'coaching', 'project leader', 'technology solutions')"
"Space COnsultant
     (More Jobs)","('nephrologist', 'consultant', 'kidney care physician')"
IQVIA,"('clinical trials', 'data entry', 'medical terminology', 'it competence', 'communication skills', 'clinical research coordinator', 'life sciences', 'research assistant', 'edc')"
IQVIA,"('sales forecasting', 'client relations', 'territory management', 'communication', 'sales success', 'database', 'written communication', 'forms')"
IQVIA,"('clinical research', 'site monitoring', 'protocol administration', 'regulatory compliance', 'communication', 'site selection', 'ich', 'cra', 'gcp', 'crf', 'life sciences', 'clinical research associate')"
"Srv global consultancy Pvt Ltd
     (More Jobs)","('education', 'lecturer', 'professor', 'teacher', 'schools', 'lesson planing', 'examination', 'special education teaching', 'classroom teacher', 'primary school', 'principal', 'teaching')"
"M care Jobs
     (More Jobs)","('pediatric', 'pediatrics', 'nicu', 'picu', 'general pediatrics')"
IQVIA,"('program management', 'financial reporting', 'project coordination', 'healthcare experience', 'stakeholder communication', 'program development', 'talent acquisition')"
"Space COnsultant
     (More Jobs)","('consultant', 'surgery')"
IQVIA,"('contact center experience', 'healthcare industry knowledge', 'japanese language proficiency', 'regulatory compliance', 'client communication', 'clinical research', 'life sciences')"
IQVIA,"('clinical trial experience', 'data analysis', 'medical monitoring', 'budget review', 'communication level english', 'scientist', 'clinical data', 'life sciences', 'biomedical', 'interpretation', 'clinical research')"
"WORKAHOLIC INTELLIGENCE PRIVATE LIMITED
     (More Jobs)","('anesthesia assistant', 'anesthesia', 'patient histories', 'physical exams', 'lab tests', 'physician', 'preparatory procedures', 'venous', 'arterial', 'catheters', 'testing anesthesia')"
IQVIA,"('sales ability  /  persuasiveness', 'relationship building', 'account management', 'business acumen', 'communication skills', 'compensation')"
IQVIA,"('clinical research', 'administration', 'data entry', 'medical terminology', 'ms office', 'clinical research coordinator', 'clinical trials', 'life sciences', 'edc')"
IQVIA,"('clinical research', 'health and safety', 'data entry', 'it competence', 'interpersonal skills', 'clinical research coordinator', 'clinical trials', 'life sciences', 'edc')"
"Space COnsultant
     (More Jobs)","('neurologist specialist',)"
"Space COnsultant
     (More Jobs)","('neurologist', 'consultant')"
"SKYWALK VISA IMMIGRATION SERVICES LLP
     (More Jobs)","('vice principal', 'principal', 'education', 'teaching', 'lecturer', 'hod', 'faculty training', 'academic research')"
"M care Jobs
     (More Jobs)","('pediatric', 'pediatrics')"
"M care Jobs
     (More Jobs)","('professor', 'teaching and instructing')"
"M care Jobs
     (More Jobs)","('mri', 'ctscan', 'ultascan', 'tiffa scan')"
"WORKAHOLIC INTELLIGENCE PRIVATE LIMITED
     (More Jobs)","('physiotherapist', 'physiotherapy', 'manage pain', 'balance', 'mobility', 'motor function', 'physical therapist', 'life science', 'mpt', 'bpt', 'biomedical engineer')"
"CLOUD VISA IMMIGRATION LLP
     (More Jobs)","('medical receptionist', 'reception', 'receptionist', 'data entry operator')"
"Space COnsultant
     (More Jobs)","('neuro physician',)"
"M care Jobs
     (More Jobs)","('mri', 'ultrasound', 'ct scan', 'x-ray')"
"Space COnsultant
     (More Jobs)","('general surgeon', 'consultant', 'surgeries')"
"M care Jobs
     (More Jobs)","('associate professor', 'academic research', 'lecturer', 'professor')"
"SKYWALK VISA IMMIGRATION SERVICES LLP
     (More Jobs)","('physiotherapists', 'patient care', 'physical therapy', 'ortho', 'therapy', 'physiotherapy', 'physical therapist')"
"Space COnsultant
     (More Jobs)","('surgeon',)"
"Space COnsultant
     (More Jobs)","('general medicine', 'doctor')"
"M care Jobs
     (More Jobs)","('mri', 'ctscan', 'ultascan', 'tiffa scan', 'interventional radiology')"
"M care Jobs
     (More Jobs)","('mbbs', 'general practitioner', 'general physician')"
"Space COnsultant
     (More Jobs)","('consultant cardiologist', 'interventional cardiologist', 'heart specailst')"
"Space COnsultant
     (More Jobs)","('cardiology',)"
"Space COnsultant
     (More Jobs)","('general surgeon', 'specialist')"
"Space COnsultant
     (More Jobs)","('x-ray', 'ct scan')"
"Space COnsultant
     (More Jobs)","('neurology',)"
"M care Jobs
     (More Jobs)","('teaching and training:', 'research and scholarly activities')"
"M care Jobs
     (More Jobs)","('mri', 'ctscan', 'ultascan', 'tiffa scan', 'x-ray')"
"M care Jobs
     (More Jobs)","('orthopaedic surgery', 'joint replacement', 'orthopedic')"
"M care Jobs
     (More Jobs)","('urologist', 'medical terminology', 'urological surgery', 'endourology', 'cystoscopy')"
"M care Jobs
     (More Jobs)","('pediatric', 'pediatrics', 'neonatology', 'nicu', 'picu', 'general pediatrics')"
"M care Jobs
     (More Jobs)","('surgery', 'neuro', 'microsurgeries.', 'microsurgery techniques.')"
"Prima Donna Human Connections India
     (More Jobs)","('""service""', '""field service engineer""', '""technical support engineer""', '""service engineer""', '""callibration""', '""callibration engineer""', '""critical care""', '""ventilators""', '""ecg""')"
OMNI Hospitals,"('gnm', 'icu management', 'nursing care')"
"Trisect Global
     (More Jobs)","('treatment', 'emergency case', 'patient care', 'medical report', 'hse manage', 'occupational injuries', 'physician', 'patient satisfaction', 'healthcare', 'healthcare industry')"
Nightingales,"('gnm', 'nursing', 'home care', 'nurse', 'accountable bill')"
GLOCAL HEALTH CARE SYSTEM PVT LTD,"('x-ray', 'gnm', 'health', 'nursing', 'hospital administration', 'medical research', 'healthcare')"
SEVEN CONSULTANCY,"('nurse', 'staff nurse', 'nursing', 'healthcare')"
"SR GROUP HR Consultancy
     (More Jobs)","('staff nurse', 'nurse', 'nursing', 'general nursing', 'nursing care', 'nursing clinical', 'medical')"
OMNI Hospitals,"('gnm', 'nursing staff', 'health', 'nursing', 'nursing superintendent', 'nursing education', 'patient care', 'nursing care')"
SEVEN CONSULTANCY,"('patient handling', 'gnm', 'emergency', 'health', 'nursing', 'patient care', 'healthcare', 'nursing staff', 'staff nurse', 'nurse')"
CONNECTING 2 WORK,"('gnm', 'nurse', 'health', 'nursing', 'nursing care')"
"Space COnsultant
     (More Jobs)","('nurse', 'nursing', 'medical')"
sapphire hospital,"('gnm', 'nursing', 'nabh', 'nursing supervisor')"
Aarogyam,"('gnm', 'nurse', 'nursing', 'medical instruments')"
CONNECTING 2 WORK,"('gnm', 'health', 'nursing', 'nurse', 'physician', 'emergency care', 'nursing care')"
SEVEN CONSULTANCY,"('gnm', 'health', 'nursing', 'patient care', 'healthcare', 'nurse', 'staff nurse', 'nursing care')"
SEVEN CONSULTANCY,"('health', 'nursing', 'patient care', 'nursing supervisor', 'nurse', 'medical superintendent', 'nursing care')"
"Space COnsultant
     (More Jobs)","('nursing spervisior',)"
"Neetu Patle
     (More Jobs)","('staff nurse', 'general nursing', 'diabetic patient care', 'nurse specialist in diabetes', 'ecg', 'infection control', 'diabetic footcare nurse', 'footcare and wound care nurse')"
CONNECTING 2 WORK,"('nursingeducation', 'nurse', 'health', 'nursing', 'patient care', 'healthcare')"
SEVEN CONSULTANCY,"('gnm', 'staff nurse', 'nurse', 'emergency', 'health', 'nursing', 'patient care', 'healthcare')"
RG STONE UROLOGY & LAPAROSCOPY HOSPITAL,"('health education', 'emergency', 'nursing', 'infection control', 'midwifery', 'staff nurse', 'nursing superintendent', 'nursing care', 'gnm', 'patient care', 'iv')"
"Ayman Global Services
     (More Jobs)","('dialysis nurse', 'critical care', 'prometric', 'nurse')"
"INDUSTRIAL VENTURES
     (More Jobs)","('nursing', 'nursing assistant', 'medical', 'medicine', 'gnm', 'bsc')"
SEVEN CONSULTANCY,"('gnm', 'emergency', 'nursing', 'medicine', 'patient care', 'healthcare', 'dressing', 'staff nurse', 'icu')"
"WE CONSULTANTS
     (More Jobs)","('nurse educator', 'msc nursing', 'nurse', 'nursing', 'medical', 'staff nurse', 'medical surgical', 'psychiatry')"
Quality HR Services,"('safety', 'health', 'communication', 'clinical knowledge', 'bio medical waste management', 'emergency', 'nursing', 'healthcare', 'nurse', 'gnm')"
"TALENT VAULT LLP
     (More Jobs)","('nurse', 'staff nurse', 'nursing', 'patient care', 'medication  administration', 'medical staffing', 'nusring process', 'medical staff development', 'health care', 'nurse pratitioners')"
"WORKAHOLIC INTELLIGENCE PRIVATE LIMITED
     (More Jobs)","('general nurses', 'nurses', 'nurse', 'patient care', 'patient handling', 'patient management', 'patient counseling', 'nurse patient care')"
"Space COnsultant
     (More Jobs)","('icu', 'nursing', 'advanced clinical skills', 'emergency response')"
MANIPAL HEALTH ENTERPRISES PVT LTD,"('gnm', 'infection control', 'medicine', 'lab technician', 'patient care', 'doctor', 'nurse', 'icu', 'micu')"
"Migronis Visa Immigration
     (More Jobs)","('patient care', 'staff nurse', 'emergency injuries', 'work-related risks', 'injuries and illnesses', 'primary healthcare')"
"Neetu Patle
     (More Jobs)","('nurse', 'patient care', 'patient handling', 'diabetic patient care')"
"TALENT VAULT LLP
     (More Jobs)","('staff nurse', 'patient care', 'wound care', 'nurse activities', 'healthcare', 'critical thinking', 'inpatient care', 'surgery', 'clinical research', 'health record')"
"WORKAHOLIC INTELLIGENCE PRIVATE LIMITED
     (More Jobs)","('geriatric nurses', 'registration', 'gnm', 'nursing', 'dressing', 'healthcare', 'ot', 'operation theatre', 'emergency medicine', 'emergency care', 'emergency check', 'icu care', 'icu management')"
"2COMS Consulting Pvt Ltd
     (More Jobs)","('nurse',)"
"World Overseas immigration Consultancy Pvt Ltd
     (More Jobs)","('lab technician', 'cathlab', 'cath lab', 'cardiac', 'icu', 'cardiology', 'neurology', 'pediatric', 'nicu', 'dialysis', 'critical care', 'nurse', 'staff nurse', 'anm', 'gnm', 'bsc', 'ot', 'uk', 'uk recruitment')"
KG TIGER,"('psychiatric', 'nurse practitioner', 'medication management')"
sir ganga ram hospital new delhi,"('**   patient care', 'nursing skills', 'team collaboration', 'critical thinking', 'health assessment **', 'gnm', 'nurse')"
IQVIA,"('clinical research', 'nursing', 'medical terminology', 'data entry', 'it competence', 'clinical research coordinator', 'clinical trials', 'life sciences', 'edc')"
IQVIA,"('clinical research', 'study coordinator', 'patient vitals', 'data entry', 'study administration', 'clinical research coordinator', 'clinical trials', 'life sciences', 'edc')"
"Space COnsultant
     (More Jobs)","('staff nurse', 'registered nurse')"
"Space COnsultant
     (More Jobs)","('staff nurse', 'nurse')"
"Prima Donna Human Connections India
     (More Jobs)","('""gnm""', '""bsc-nursing""', '""nursing""', '""staff nurse""', '""ward""', '""ot""', '""icu""')"
SEVEN CONSULTANCY,"('nursing staff', 'nurse', 'nursing', 'medical services', 'patient care', 'nursing care')"
"Space COnsultant
     (More Jobs)","('staff nurse', 'nursing', 'general nursing')"
"Space COnsultant
     (More Jobs)","('nursing', 'nurse', 'icu')"
"EXOTIC EXPERT SOLUTIONS LLP
     (More Jobs)","('nurse', 'staff nurse', 'male nurse', 'occupational health nurse', 'ot nurse', 'icu', 'cardiac')"
"Prima Donna Human Connections India
     (More Jobs)","('""gnm""', '""bsc-nursing""', '""ward""', '""staff nurse""', '""ot""', '""icu""')"
"SKYWALK VISA IMMIGRATION SERVICES LLP
     (More Jobs)","('staff nurse', 'icu nurse', 'medical icu', 'medicine', 'nursing', 'nurse', 'patient care', 'patient handling', 'patient counseling')"
sapphire hospital,"('ot', 'gnm', 'staff nurse')"
SEVEN CONSULTANCY,"('gnm', 'nurse', 'health', 'nursing', 'patient care')"
"SKYHIGH IMMIGRATION PRIVATE LIMITED
     (More Jobs)","('nursing', 'medical', 'medicine', 'drug', 'pharmaceutical', 'pharma', 'nurse', 'staff nurse', 'male nurse', 'occupational health nurse')"
SEVEN CONSULTANCY,"('nurse', 'health', 'emergency', 'nursing', 'patient care')"
"TALENT VAULT LLP
     (More Jobs)","('nurse', 'staff nurse', 'ot nurse', 'icu nurse', 'critical care', 'emergency nurse')"
"World wide Immigration Service Llp
     (More Jobs)","('nurse', 'staff nurse', 'ot nurse', 'icu nurse', 'critical care', 'emergency nurse')"
