Company,Skills
LIferay,"('java development\nversioning tools\njunit testing\ntechnical english\ncommunication skills\ngit\nliferay\nweb development',)"
Capgemini India Pvt Ltd,"('c   programming\nqt framework\nnetwork security\nsecure coding\nlinux development\ngdb\nsocket programming\nsoftware design\ncryptography\nsoftware management\nstorage\ndebugging\nshell scripting\nobject oriented programming',)"
Capgemini India Pvt Ltd,"('cards  /  payment domain\ncore java\nspring framework\nrestful api services\nsql\njava ee\ntechnical skills\ncloud services\noracle\nteam player\njava developer\nspring boot\nsystem architecture\nunix shell',)"
Capgemini India Pvt Ltd,"('cards  /  payment domain\ncore java\nspring framework\nrestful api\nunix shell scripting\nsql\njava ee\ntechnical skills\ncloud services\noracle\nteam player\njava developer\nspring boot\nsystem architecture',)"
Capgemini India Pvt Ltd,"('java\nspring\nspring boot\nrestful service\njpa  /  hibernate\nsql  &  nosql db\ncloud environment\nc\nhtml5\nrest api\nadvanced c\ndevops\nxml\nc#\ngithub\nsoftware testing\njavascript\nmessaging\ngroovy\nstruts\nhybris\nsoftware design\njsp\nado.net\nspring mvc\nentity framework\ngradle\ncloud storage\nsoa\nrtos',)"
autodesk india pvt ltd,"('object oriented programming\nsoftware development\nalgorithms\ndata structures\nagile methodologies\nc\ndocker\ngit\ndevops\nlinux\nsoftware engineering\nc#\npython\nant\nwindows\njavascript\nvisual studio\ngroovy\nconsultant\ninfrastructure\nproject delivery',)"
autodesk india pvt ltd,"('software development\nalgorithms\ndata structures\ncommunication skills\nagile methodology\nc\ndocker\ngit\ndevops\nlinux\nsoftware engineering\nc#\npython\nant\nwindows\njavascript\nvisual studio\ngroovy\nconsultant\ninfrastructure\nproject delivery',)"
Capgemini India Pvt Ltd,"('cards  /  payment domain\ncore java\nspring framework\nrestful api\nsql\njava ee\ntechnical skills\ncloud services\noracle\nteam player\njava developer\nspring boot\nsystem architecture\nunix shell',)"
Capgemini India Pvt Ltd,"('java\nspring framework\nrestful api\nsql\ncloud platforms\njava ee\ntechnical skills\ncloud services\noracle\nteam player\njava developer\nspring boot\nsystem architecture\nunix shell',)"
Capgemini India Pvt Ltd,"('visionplus development\ntechno functional knowledge\nmainframe environment\nmainframe technical development\ntroubleshooting and support\neasytrieve\ntso\nispf\njcl\nendevor\nvsam\ncobol\nsystem architecture\ncics',)"
Capgemini India Pvt Ltd,"('dynamics 365 ce\npowerapps\npower automate\npowerbi\njavascript\nc#\ncss\nhtml5\ndevops\nproject delivery\njson\nsharepoint',)"
autodesk india pvt ltd,"('c   development\nc# development\nsoftware design\nengineering analysis\ndeployment methodology\ncontractor\nstructural engineering\nmodeling\ncivil 3d\nengineering manager\ncivil infrastructure\nbridge design\ndesigning\ncivil engineering',)"
Capgemini India Pvt Ltd,"('visionplus development\ntechno functional knowledge\nmainframe environment\nmainframe technical skills\ncommunication skills\neasytrieve\ntso\nispf\njcl\ncobol\nendevor\ncics\nvsam',)"
Capgemini India Pvt Ltd,"('visionplus\nmainframe\ncobol\njcl\ncommunication\neasytrieve\ntso\nispf\nendevor\ncics\nvsam',)"
Capgemini India Pvt Ltd,"('visionplus development\ntechno functional knowledge\nmainframe environment\nmainframe development skills\nca tools understanding\neasytrieve\ntso\nispf\njcl\ncobol\nendevor\ncics\nvsam',)"
Capgemini India Pvt Ltd,"('java spring boot\nrestful service development\njpa hibernate\nsql nosql\ncloud environment azure\nc\nhtml5\nrest api\nadvanced c\ndevops\nxml\nc#\ngithub\nsoftware testing\njavascript\nmessaging\ngroovy\nstruts\nhybris\nsoftware design\njsp\nado.net\nspring mvc\nentity framework\ngradle\ncloud storage\nsoa\nrtos',)"
Capgemini India Pvt Ltd,"('dynamics  ce\npowerapps\npower automate\npowerbi\nazure devops\nc#\ncss\nhtml5\nproject delivery\njson\nsharepoint\njavascript',)"
Capgemini India Pvt Ltd,"('visionplus development\ntechno functional knowledge\nmainframe environment\nmainframe technical skills\nca tools proficiency\neasytrieve\ntso\nispf\njcl\ncobol\nendevor\ncics\nvsam',)"
Moody's Corporation,"('software engineering\n\nnet development\nsql programming\npython automation\ndata analysis\nalgorithms\nsoftware design\nmemory management\nc#\n.net',)"
IQVIA,"('software development\nhealthcare knowledge\napi architecture\ndatabase management\nteam collaboration\ninformation technology\njavascript\nsql\nnode.js\nmongodb',)"
Informatica,"('java development\ndata structures\ndesign patterns\nspring boot\nbig data\nrest\nadvanced java\nspring mvc\nentry level\nmongodb\nj2ee technologies',)"
forcepoint,"('security management\ndata protection\ncloud computing\nzero trust\nintellectual property\njob posting',)"
Tekshapers Software Solutions  ( P )  Limited,"('data services\nteradata\nsap bods\ndata warehousing\nsql\ndata quality\netl\ninformatica\ndata integration',)"
Moody's Corporation,"('cloud engineering\nazure\naws\nkubernetes\ninfrastructure as code\norchestration\ninformation technology\nsql\ndocker\niam\ndevops\nvms\ncloud services\nteam player',)"
Informatica,"('backend development\njava programming\nspring boot\nbig data\ncloud technologies\nspring mvc\ndata structures\nrest\nentry level\nj2ee technologies',)"
batchmaster software pvt. ltd.,"('tfs\ntesting\nvb\nvb.net\nqa\njava\nwhite box testing\nbug tracking\nasp. net',)"
Moody's Corporation,"('javascript programming\nvue.js development\nui design\nmicroservices architecture\nrest api\nalgorithms\ncss\nhtml5\nreact.js\ndebugging\ndata structures',)"
Moody's Corporation,"('api development\ndata modeling\nsoftware engineering\ncloud computing\nagile practices\nalgorithms\nrest api\nbootstrap\ndatabase\njson\ndata structures\npython',)"
Moody's Corporation,"('azure\naws cloud\nkubernetes\ninfrastructure as code\ndevops tools\norchestration\ninformation technology\nsql\ndocker\niam\nvms\ncloud services\nteam player',)"
Moody's Corporation,"('salesforce engineering\nproduction support\nincident resolution\nvendor management\nrelease management\nproduction environment\napplication support\nproject delivery',)"
Moody's Corporation,"('**  aws management\napplication support\npyspark expertise\nsql optimization\ncloudwatch monitoring **\ndata extraction\ndebugging\nproduction support',)"
Moody's Corporation,"('azure cloud solutions\ninfrastructure as code\ndevops practices\nci  /  cd tools\ncloud architecture\ninformation technology\ngithub\ngroovy\nenvironment management\nsql\ndocker\ndatabase\nsecurity\ntechnical skills\nmiddleware\nmicrosoft azure\nproduction support',)"
"Sunbridge Solutions  Opc Private Limited
     (More Jobs)","('software engineer\nsoftware developer\nsenior software developer\nsoftware quality assurance',)"
Moody's Corporation,"('salesforce development\napttus  /  conga cpq\nlightning components\nagile methodology\ncommunication skills\napex\nsecurity\njava\ndevops\nhtml\napi\nsalesforce developer',)"
Moody's Corporation,"('**  salesforce development\napttus  /  conga cpq\nagile methodology\ntechnical design\ncommunication skills **\napex\nsecurity\njava\ndevops\nhtml\napi\nsalesforce developer',)"
Moody's Corporation,"('javascript programming\nvue\njs development\nui component design\nmicroservices architecture\nsoftware development life cycle\nalgorithms\ncss\nhtml5\nrest api\nreact.js\ndebugging\ndata structures',)"
QUICSOLV,"('html\ncss\njavascript\nsql\nweb services\nhtml5\nbootstrap\ndatabase\nsecurity\ngit\ndebugging\nsoftware engineer\nmysql\nrest\nsvn',)"
eurofins it solutions pvt ltd,"('web application development\nmicrosoft stack\n\nnet\nc#\nangular\njavascript\ntypescript\nsql\ntfs\nsoa\nhtml5\noop\nasp.net\nerp  /  crm\nnosql\nmicrosoft technologies\njquery\noops\nsoftware engineer\nmvc\ncloud computing\ninformation management\nsoftware delivery\nmobile\nservice oriented architecture',)"
eurofins it solutions pvt ltd,"('web application development\nmicrosoft technologies\n\nnet  &  c#\nsql  &  t sql\nagile methodology\nhtml5\ndevops\nasp.net\nssrs\nerp  /  crm\njavascript\njquery\nsoftware engineer\ninformation management\nsoftware delivery\nmobile\nteam player\nwritten communication',)"
Edifecs,"('java\nj2ee\nspring framework\nmicroservices\ndesign patterns\nbootstrap\nmockito\nsecurity\nsoftware engineer\njunit\nrdbms\nsoftware delivery\nnosql',)"
Microsoft India Pvt Ltd,"('software development\nc# programming\ncollaboration skills\nproblem solving\ndebugging techniques\nc\njava\nsoftware engineer\nweb development\nsoftware engineering\nsan\npython\njavascript',)"
Nvidia Graphics Pvt Ltd,"('systems software\ngpu architecture\nc programming\nhardware control\nmemory management\nusb\ngraphics\nrtos\nsoftware engineer\ncache\ncomputer graphics\nbsp',)"
AMAZON INDIA PVT LTD,"('linux graphics\nkernel memory\ngraphics api\nvulkan\nsoc platform\nos\ncomposer\nlinux kernel\nsoftware engineer',)"
Google India Pvt Ltd,"('**    software development\ndata structures\nproblem solving\ncode reviews\nsystem design  **\nalgorithms\nstorage\nartificial intelligence\nsecurity\nsystem development\nsoftware engineer\nnatural language processing\ninformation retrieval\nmobile',)"
nec software solutions  ( india )  pvt ltd,"('information technology\nsenior software engineer\nwindows\nsql\nsecurity\n.net\nmvc\napi',)"
Myntra,"('machine learning\nsoftware engineering\ndata pipelines\nnlp\nproblem solving\nalgorithms\nsenior software engineer\nartificial intelligence\nnatural language processing\ninformation retrieval',)"
Microsoft India Pvt Ltd,"('**  data ingestion\ncloud technologies\nsoftware development\nperformance tuning\ndistributed systems **\nsql\nsecurity\ndatabase\nsoftware engineer\nc#\nwindows\nnosql\ninfrastructure',)"
ORACLE,"('**   devops engineering\nlinux system administration\nci  /  cd concepts\npython programming\ndocker  &  kubernetes  **\nsenior software engineer\nsecurity\ngit\noracle',)"
Microsoft India Pvt Ltd,"('**  c# programming\ncloud technologies\ndata pipeline\nmicroservices architecture\nperformance tuning **\nsql\nsecurity\ndatabase\nsoftware engineer\nwindows\nnosql\ninfrastructure',)"
Microsoft India Pvt Ltd,"('**  software development\nproblem solving\nhigh performance coding\nuser centric design\ntechnical engineering **\nfundamentals\nc\nsecurity\nsoftware engineer\nc#\npython',)"
neologix software solutions india pvt ltd,"('fundamentals\nc#\nrdbms\nsenior software engineer\nvb.net\najax\njavascript\nmicrosoft .net\noops\nweb technologies\nasp.net\n.net\nreporting tools',)"
Microsoft India Pvt Ltd,"('software development\ncoding proficiency\ndebugging skills\nuser interface design\ncollaborative innovation\nc\nsecurity\njava\nprogram manager\nsoftware engineer\nsoftware engineering\nc#\nsan\npython\nwindows\njavascript\nxaml\nweb technologies',)"
Nvidia Graphics Pvt Ltd,"('**   c programming skills\nhardware control code\noperating systems knowledge\nbsp development expertise\nsoc platform engineering  **\nusb\ngraphics\nmemory management\nrtos\nsoftware engineer\ncache\ncomputer graphics',)"
a&w engineering works pvt ltd.,"('embedded systems\nlinux bsp\ndriver development\nc programming\ndevice tree configuration\nusb\nembedded linux\nembedded software engineer\ndigital signal processing\nhardware',)"
Google India Pvt Ltd,"('**  software development\nandroid programming\ndata structures\nsoftware design\ntechnical leadership **\nalgorithms\nsenior software engineer\nstorage\nartificial intelligence\nsecurity\nsystem development\nnatural language processing\noperating system\ninformation retrieval\nmobile',)"
Google India Pvt Ltd,"('**  software development\ndata structures\nsoftware testing\nsoftware design\ntechnical leadership **\nalgorithms\nsenior software engineer\nstorage\nartificial intelligence\nsecurity\nsystem development\nnatural language processing\noperating system\ninformation retrieval\nmobile',)"
kelly outsourcing,"('**  ibm bpm expertise\nsoftware development\nagile methodologies\ndevops practices\nquality assurance **\nsenior software engineer\ndatabase\nsecurity\ndebugging\ndelivery manager\ninfrastructure',)"
Tyfone Communications development  ( India )  Pvt. Ltd,"('java programming\nspringboot\ncloud technologies\napi development\nci  /  cd tools\ndbms\ngit\nsoftware engineer\nmysql\nmaven\nbusiness environment\nmessaging\nsoap',)"
Google India Pvt Ltd,"('**   software development\ndata structures\ndistributed systems\nperformance analysis\ncode diagnosis  **\nalgorithms\nstorage\nartificial intelligence\nsecurity\ndebugging\nsoftware engineer\nnatural language processing\ninformation retrieval\nmobile\ninfrastructure',)"
Google India Pvt Ltd,"('**  software development\ncoding standards\ndesign reviews\ndebugging skills\ncollaboration skills **\nc\nstorage\nartificial intelligence\nsecurity\njava\nsystem development\nsoftware engineer\npython\nnatural language processing\ninformation retrieval\nmobile\njavascript',)"
Google India Pvt Ltd,"('**    software development\ndata structures\nsoftware design\ntechnical leadership\ncode review  **\nalgorithms\nsenior software engineer\nstorage\nartificial intelligence\nsecurity\nsystem development\nnatural language processing\ninformation retrieval\nmobile\ninfrastructure',)"
Google India Pvt Ltd,"('**   software development\ncode review\ndesign review\ndebugging techniques\nproblem solving  **\nc\nstorage\nartificial intelligence\nsecurity\njava\nsystem development\nsoftware engineer\npython\nnatural language processing\ninformation retrieval\nmobile\njavascript',)"
Microsoft India Pvt Ltd,"('software development\nc# programming\ndistributed systems\ndatabase management\nteam collaboration\nc\njava\npostgresql\nsoftware engineer\nsoftware engineering\nbusiness applications\nsan\npython\njavascript\ninfrastructure',)"
a&w engineering works pvt ltd.,"('object oriented programming  design patterns  c   /   c    linux environment  multithreading\npython\ngit\nsoftware engineer\nshell scripting\nipc\ndigital signal processing\nmiddleware',)"
Microsoft India Pvt Ltd,"('python development\nc  /  c   programming\nmachine learning models\ncuda optimization\ncloud infrastructure\noss\ndocker\nsecurity\ngit\nsoftware engineer\nsoftware engineering\nsan',)"
ORACLE,"('java programming\nsql database\nsoftware development\nweb applications\ncommunication skills\nsenior software engineer\nsecurity\ncrm\nc#\noracle\nteam player',)"
Microsoft India Pvt Ltd,"('**  cloud services development\ndistributed systems design\nnetworking and security\nc# and java proficiency\nagile software delivery **\nsoftware design\ndocker\nlinux\nsoftware engineer\ncloud computing\nos\nauthor\nmicrosoft azure\nwindows\ninfrastructure',)"
Nvidia Graphics Pvt Ltd,"('c   programming\ngraphics programming\nshader debugging\nperformance tuning\nobject oriented design\nvirtual reality\ngames\ndata structures\nmultithreading\napi\ncomputer graphics\nalgorithms\nsoftware engineer\ngui development\nopengl',)"
Glitter Technology Ventures Pvt Ltd,"('fundamentals\ndbms\nsql\ndatabase\njava\ngit\noops\nj2ee\nsoftware engineer\ndata structures\nhadoop\nbig data\nmongodb\nrest\nmobile\nproblem solving\njavascript\nnosql',)"
Microsoft India Pvt Ltd,"('full stack development\ncloud services expertise\nlinux ecosystem management\nci  /  cd pipeline optimization\nproblem solving skills\nc\nsecurity\ndevops\nsoftware engineer\ncloud computing\nc#\nwindows\ninfrastructure\n.net',)"
Google India Pvt Ltd,"('software development\ndata structures\nalgorithm design\nperformance analysis\ncode review\nalgorithms\nc\nstorage\nartificial intelligence\nsecurity\njava\nsystem development\ndebugging\nsoftware engineer\nnatural language processing\ninformation retrieval\nmobile',)"
Google India Pvt Ltd,"('python\njava\njavascript\nsoftware development\nproblem solving\nc\nstorage\nartificial intelligence\nsecurity\nsystem development\nsoftware engineer\nnatural language processing\ninformation retrieval\nmobile\ninfrastructure',)"
transtrack,"('fundamentals\nudp\nc\nsocket programming\nlinux internals\nlinux\nsoftware engineer\ndata structures\ntechnical skills\nc\ngdb\noperating system\ngnu\nproduction support\ninter process communication\npro*c',)"
Saggio Insurance Marketing Pvt Ltd,"('fundamentals\nudp\nc\nsocket programming\nlinux internals\nlinux\nsoftware engineer\ndata structures\ntechnical skills\nc\ngdb\noperating system\ngnu\nproduction support\ninter process communication\npro*c',)"
TO THE NEW,"('senior software engineer\nhibernate\njquery\nsql\nspring\nxml\noops\nlinux\nmysql\nhtml\nmvc\ncloud computing\nmongodb\noracle\ngrails\njavascript\ngroovy\njava programming',)"
Google India Pvt Ltd,"('**   software development\ndata structures\nalgorithm design\ncode review\nproject management  **\nalgorithms\nstorage\nartificial intelligence\nsecurity\nsystem development\nsoftware engineer\nnatural language processing\ninformation retrieval\nmobile',)"
Google India Pvt Ltd,"('**  software development\ndata structures\nsoftware design\ntechnical leadership\nsystem debugging **\nalgorithms\nsenior software engineer\nstorage\nartificial intelligence\nsecurity\nsystem development\nnatural language processing\ninformation retrieval\nmobile\ninfrastructure',)"
Google India Pvt Ltd,"('software development\ndata structures\nalgorithm design\ncode review\nproblem solving\nalgorithms\nstorage\nartificial intelligence\nsecurity\nsystem development\nsoftware engineer\nnatural language processing\ninformation retrieval\nmobile\ninfrastructure',)"
PROGRESS SOFTWARE,"('software engineering\nc development\ntcp  /  ip networking\nlinux os\nperformance engineering\ninformation technology\nsenior software engineer\nsecurity',)"
Aeris Communications,"('sql querying\npython development\njava development\ncode review\nproblem solving\ndatabase\ndevops\nsoftware engineer\nwritten communication\ninfrastructure',)"
Google India Pvt Ltd,"('**   software development\ndata structures\nalgorithms design\nsoftware testing\ntechnical leadership  **\nsoftware design\nstorage\nartificial intelligence\nsecurity\nsoftware engineer\nnatural language processing\ninformation retrieval\nmobile',)"
ORACLE,"('api development\nfrontend javascript\njava programming\nkubernetes deployment\npublic cloud services\nrest api\nsecurity\nsoftware engineer\nsoftware engineering\noracle',)"
Nielsen Research Ltd. Co.,"('java development\ndistributed systems\nteam leadership\ndata modeling\ncloud services\nscala\ndata warehousing\nsql\nsoftware engineer\ntechnical skills\npython\nrdbms\nnosql\nleadership skills',)"
cloudxlab,"('css\norchestration\nsenior software engineer\ndocker\nsecurity\njava\nmks\ndevops\nbpm\nlinux server administration\npython\nneo4j\nwritten communication\ninfrastructure',)"
Microsoft India Pvt Ltd,"('ai software development\nc  /  c   programming\npython proficiency\nmodel training optimization\nhardware collaboration\nsoftware design\nsenior software engineer\nartificial intelligence\njava\nsoftware engineering\nc#\nsan\nmachine learning\njavascript',)"
Google India Pvt Ltd,"('**  software development\nrust programming\njava  /  kotlin expertise\nembedded systems\nautomotive middleware **\nalgorithms\nc\nstorage\nartificial intelligence\nsecurity\nsoftware engineer\ndata structures\nnatural language processing\ninformation retrieval\nmobile',)"
Microsoft India Pvt Ltd,"('**   large language models\ngenerative ai\npython programming\ndistributed systems\nagile development  **\nc\nartificial intelligence\nsecurity\njava\nsoftware engineer\nc#\nmachine learning\njavascript',)"
ORACLE,"('**  sql development\nccl scripting\ndebugging techniques\ndata processing\ncollaboration skills **\ninformation technology\nsoftware engineering\nmysql\noracle\nsoftware developer\ndatabase management\nsecurity\nassociate software engineer',)"
Nielsen Research Ltd. Co.,"('software development\ncloud technologies\ndevops practices\nbig data systems\ncomputer science fundamentals\nhive\nalgorithms\norchestration\nstorage\ndocker\nsql\nsecurity\njava\nsoftware engineer\ndata structures\npython\njavascript\nhdfs',)"
Microsoft India Pvt Ltd,"('**   coding in c  /  c\nobject oriented programming\ndebugging and troubleshooting\nsecurity solution development\ncollaboration with teams  **\nalgorithms\nsenior software engineer\nwindows\nlinux\ntechnical skills',)"
HITACHI SOLUTIONS LTD.,"('c\nwordpress\nsso\njava\ndevops\nasp.net\nc#\njavascript\n.net\nmicrosoft technologies\nstorage\ndocker\ndatabase\nsecurity\ngit\nsoftware engineer\nbusiness applications\nrest\nc\nentity framework\nhitachi\ninfrastructure',)"
NIRA Systems,"('microsoft technologies\nhtml5\nsenior software engineer\nbootstrap\najax\njquery\nsql\nmicrosoft .net\nasp.net\nlinux\nweb development\nmvc\napi\npython\nnosql\nnode.js\n.net\nc#.net',)"
Allindia Technologies Limited,"('css\nsenior software engineer\najax\njquery\nasp.net\ndebugging\nweb development\nhtml\nweb api\nc#\nrdbms\nteam player\njavascript\nwritten communication\n.net',)"
Elshaddai Global Solutions,"('rest api\noop\ndatabase\nproject leader\nlinux\nsoftware engineer\nobject oriented programming\nphonegap\nuser manual\neclipse ide\nandroid development\neclipse\njava programming\nsoap',)"
online productivity solutions pvt. ltd.,"('html5\nwordpress\nbootstrap\najax\njquery\napache\ngit\npostgresql\nlinux\ncodeigniter\nzend\nsoftware engineer\nmysql\nweb development\napi\ncakephp\nlamp\nvisual source safe\njavascript\nphp',)"
2Soft Solutions Pvt. Ltd.,"('java\nspring\nhibernate\nangularjs\nmysql\njquery\nsecurity\ngit\nsoftware engineer\njpa\nhtml\ntechnical skills\noracle\nmaven\nant\nteam player\nsvn\nnosql\nservlets',)"
Travel Centric Technology,"('websphere\nxsd\nbug fixing\nhibernate\nspring\ndatabase\njava\napache\nxml\nsoap web services\nsoftware engineer\nmysql\njavafx\nxquery\nteam player\nnosql\neclipse\nswing\nunix  /  linux',)"
TagIT Solutions,"('websphere\njsp\nsenior software engineer\nhibernate\nspring\nsecurity\ndatabase\njava\nlinux\nj2ee\nmysql\noracle\nmobile\nproduction support\ninfrastructure\nservlets\nunix',)"
Resource Weaver,"('algorithms\nhibernate\nsso\nspring\njava\nj2ee\nsoftware engineer\ndata structures\nbig data\njava developer\nnosql\nspring security\nsoftware developer\nj2ee technologies',)"
Symphisys,"('embedded c  /  c\ndevice drivers\ncommunication protocols\nfirmware development\ndebugging techniques\nuds\ncanoe\ni2c\nembedded software engineer\nhardware\nmatlab\ncapl\nuart\ncanape',)"
Google India Pvt Ltd,"('software development\nprogramming languages\nsystem design\ncode review\ndebugging techniques\nc\nstorage\nartificial intelligence\nsecurity\njava\nsystem development\nsoftware engineer\npython\nnatural language processing\ninformation retrieval\nmobile\njavascript',)"
Google India Pvt Ltd,"('**  software development\ndata structures\nalgorithm design\ncode review\nproblem solving **\nalgorithms\nstorage\nartificial intelligence\nsecurity\nsystem development\nsoftware engineer\nnatural language processing\ninformation retrieval\nmobile',)"
Google India Pvt Ltd,"('software development\ndata structures\nalgorithms expertise\nproject management\nsystem design\nstorage\nartificial intelligence\nsecurity\nsystem development\nsoftware engineer\nnatural language processing\ninformation retrieval\nmobile\ninfrastructure',)"
Google India Pvt Ltd,"('**  software development\ndata structures\nalgorithm design\nsystem testing\ncode review **\nalgorithms\nstorage\nartificial intelligence\nsecurity\nsystem development\nsoftware engineer\nnatural language processing\ninformation retrieval\nmobile\ninfrastructure',)"
Myntra,"('backend development\ncloud hosting\nautomation\nsecurity protocols\ndistributed systems\nsenior software engineer\ndocker\nreact.js\ndatabase\nlinux\npython\naccess management\nnosql\nmessaging\ninfrastructure\nweb technologies\nunix',)"
Intel Technology India Pvt Ltd,"('c language development\nautomotive environment knowledge\nsystem on chip\nreal time systems\nembedded software\nc\nsenior software engineer\nembedded software development\nsoftware engineering\nvectorcast\ndebugging',)"
Microsoft India Pvt Ltd,"('**   software development\napi development\ncloud services\nunit testing\nagile methodologies  **\nc\nsenior software engineer\nsecurity\njava\nsoftware engineering\nc#\nsan\npython\njavascript\nmessaging',)"
"SKYWALK VISA IMMIGRATION SERVICES LLP
     (More Jobs)","('technical support engineer\nit engineer\nsystem administrator\nit software engineer\nnetwork administrator\nsystem engineer\nsystem admin\nit executive',)"
Nielsen Research Ltd. Co.,"('**  full stack development\njava and go\naws and kubernetes\nresponsive web design\nrestful apis knowledge **\ncss\npostgresql\nsoftware engineer\nhtml\nmysql\ntechnical skills\njavascript\ncassandra\nsystem architecture',)"
Google India Pvt Ltd,"('**  kotlin development\njava programming\nandroid framework\ndata structures\nalgorithm design **\nalgorithms\nc\nstorage\nartificial intelligence\nsecurity\nsoftware engineer\nnatural language processing\ninformation retrieval\nmobile',)"
Google India Pvt Ltd,"('**  technical leadership\nsoftware design\nproblem solving\nproject management\ncross functional collaboration **\nalgorithms\nstorage\nartificial intelligence\nsecurity\nsoftware engineer\ndata structures\nnatural language processing\ninformation retrieval\nmobile',)"
Nielsen Research Ltd. Co.,"('software development\nopen source\ncloud technologies\ndevops practices\nbig data systems\nhive\nfundamentals\nalgorithms\norchestration\nstorage\ndocker\nsql\nsecurity\njava\nsoftware engineer\ndata structures\npython\njavascript\nhdfs',)"
Google India Pvt Ltd,"('software development\ndata structures\nsoftware testing\nsoftware design\ntechnical leadership\nalgorithms\nstorage\nartificial intelligence\nsecurity\nsoftware engineer\nnatural language processing\ninformation retrieval\nmobile',)"
Microsoft India Pvt Ltd,"('distributed systems\ncoding proficiency\ndebugging tools\ncode reviews\nmachine learning\nc#\nsan\nc\npython\nsenior software engineer\njavascript\nsoftware engineering\nweb crawling',)"
online productivity solutions pvt. ltd.,"('python\nrdbms\nrest apis\ndjango\nmicroservices\nfundamentals\nweb based applications\ngit\npostgresql\nsoftware engineer\nmysql\nweb development\nmongodb',)"
Twilio Inc.,"('cloud development\nmicroservices architecture\nfront end development\nagile methodologies\nci  /  cd pipelines\njava\nhtml\ngithub\njavascript\nnosql\ndocker\nsecurity\nsoftware engineer\ntechnical skills\nsan\nrest\nmobile\ninfrastructure\nforms',)"
Microsoft India Pvt Ltd,"('software development\nhigh throughput systems\nperformance optimization\nmodel serving\ndata plane services\nc\nhosting\nsecurity\njava\nsoftware engineer\nsoftware engineering\nc#\nsan\npython\nmachine learning\njavascript',)"
Microsoft India Pvt Ltd,"('software development\ncloud services\nc# programming\nmicro services architecture\nproblem solving\nc\nsenior software engineer\ndocker\nsecurity\ngit\njava\nlinux\nsoftware engineering\nsan\npython\njavascript\n.net',)"
MASTERCARD,"('**  high volume architecture\nlow latency services\nreal time data streaming\nperformance engineering\nresiliency architecture **\nbusiness rules\nsecurity\njava\nlinux\nsoftware engineer\nsoftware engineering\noracle\nwritten communication\ninfrastructure\nsplunk',)"
Myntra,"('scalable code\ncross functional collaboration\nproblem solving\njava development\ndistributed systems\nalgorithms\nsenior software engineer\nj2ee\ndata structures\nrdbms\nmobile\nimaging\nmessaging\nweb technologies',)"
Microsoft India Pvt Ltd,"('**  fraud detection algorithms\nreal time signal processing\ninfrastructure design\nmachine learning models\nsecurity first mindset **\nc\nsenior software engineer\njava\nc#\npython\njavascript',)"
ORACLE,"('**  full stack development\n\nnet framework proficiency\nc# programming expertise\ntypescript and reactjs\nsql server skills **\nsoftware design\nsenior software engineer\nt-sql\nsecurity\ndebugging\nsoftware engineering\noracle\n.net',)"
ORACLE,"('**  full stack development\nc# proficiency\nfrontend technologies\nsql server expertise\nsoftware design principles **\nsenior software engineer\nt-sql\nsecurity\ndebugging\nsoftware engineering\noracle\n.net',)"
ORACLE,"('**  full stack development\n\nnet framework proficiency\nc# programming skills\nfrontend technologies\nsql server expertise  **\nsoftware design\nsenior software engineer\nt-sql\nsecurity\ndebugging\nsoftware engineering\noracle\n.net',)"
Nielsen Research Ltd. Co.,"('c\nc   programming\nlinux kernel\ndevice drivers\nembedded systems\nusb\nece\ncache\nunix\nmemory management\ngit\ndebugging\nsoftware engineer\nos\ndevice driver development',)"
CGI Information Systems and Management Consultants Pvt Ltd,"('**  oracle dba experience\nrman backup strategy\nrac management skills\nperformance tuning\nscripting knowledge **\npython\ndatabase\nwritten communication\nsoftware engineer\noracle server',)"
Dotcom Services  ( India )  Pvt. Ltd,"('c#\ncss\noracle\nasp .net\najax\njavascript\nsql\nvb .net\ndatabase\njava\nc# .net\nxml\nweb developer\nasp.net\n.net\nsoftware engineer\nhtml\nasp',)"
"CLOUD VISA IMMIGRATION LLP
     (More Jobs)","('software engineer\nit engineer\nsoftware developer\nsenior software developer\nsenior software engineer',)"
Infoblox,"('golang programming\ncloud platforms\nnetworking solutions\nmicroservices development\nsystem architecture\norchestration\ndocker\nsoftware engineer\nsoftware engineering\napi\nrest\npython\ninfrastructure',)"
Google India Pvt Ltd,"('**   software development\ndata structures\nalgorithms design\ncode review\nsystem debugging  **\nstorage\nartificial intelligence\nsecurity\nsystem development\nsoftware engineer\nnatural language processing\ninformation retrieval\nmobile\ninfrastructure',)"
Google India Pvt Ltd,"('**  embedded programming\ndevice drivers\nsoftware design\narm architecture\nhardware integration **\nalgorithms\nc\nstorage\nartificial intelligence\nmemory management\nsecurity\nrtos\nsoftware engineer\ndata structures\nnatural language processing\ninformation retrieval\nmobile\nsoftware integration',)"
Google India Pvt Ltd,"('software development\ndata structures\ntechnical leadership\nsoftware design\nproblem solving\nalgorithms\nstorage\nartificial intelligence\nsecurity\nsoftware engineer\nnatural language processing\ninformation retrieval\nmobile\ninfrastructure',)"
Google India Pvt Ltd,"('**  technical leadership\nsoftware development\ndata structures\nproject management\nsoftware design **\nalgorithms\nstorage\nartificial intelligence\nsecurity\nsoftware engineer\nnatural language processing\ninformation retrieval\nmobile\ninfrastructure',)"
